原创/转发,日期,原微博内容,全文内容,转发数,评论数,点赞数,话题,图文识别,涉及行业,微博情绪
转发,2025-05-01 08:41:46,#协和医学院董某莹事件最新进展#再补充一点内容吧：董小姐的导师——邱老，邱院士。原来遭受过赤脚医生的“迫害”呀[笑cry] 图3、图5和图6要放在一起看：邱老的形象瞬间高大上了起来[doge][doge][doge] ??,////// :// :// :以前不能理解的历史，今天却看到了铁证如山的合理性正义性。// :今日欢呼孙大圣，只缘妖雾又重来// :他老人家没错// ：人家都是资产阶级知识分子了[doge]// :可能是她的情人帮忙做手术，然后她领奖,1,0,0, ,北京协和医学院临床医学专业毕业论文学校代码：10023学号：B2019012012跨模态图像融合技术在医疗影像分析中的研究专业年级：北京协和医学院临床医学专业2019级试点班姓名：董袭堂导邓贵兴（教授）北京协和医学院临床学院（北京协和医完成日期：2023年5月渊凌圣的晓晓关注17:46的聊天记录年07月05日至2024年07月06日07月05日18:30:08来让我来讲一下故事梗概，袭莹妹妹目前在中日友好医院规培，上个月在胸外轮转，和胸外的肖飞关系“比较好”，然后这个月本来应该去脊柱科轮转，但是妹妹觉得太辛苦就不想论战，然后让肖飞去和骨科教秘（麻昊，盘尼西林乐队手风琴手，爸爸是中医科学院副院长）去说不去骨科轮转，留在胸外帮忙，不查房，只和肖飞上上手术。完事脊柱的教秘也很刚，就直接在群里吵架，和教育处沟通反然后肖飞就和骨科打架，妹妹就去我了邱老。本来上午骨科教秘问主任这事怎么主红该怎么办怎么办，不到两个小时，主任就接到了仇老的电话，们老说知道给你填了很多麻烦，但是邱老都说了，尽量照顾一下，就不转脊柱科了，然后就给中日的脊柱主任转发了“不转科”的申请人，让主任签字。现在肖飞和袭莹妹妹让骨科教秘在群里道歉。07月05日18:30:09今天妹妹和肖飞上手术，因为护士了妹妹，肖飞直接生气，脱了衣服，带着妹妹离开手术室07月05日18:30:09，李老师、甘老师，有个情况向教育处反应下，有规培医生董袭莹，在入科前的最后一天，托本院某外科高年资医生打电话来以该科《邱贵兴院士为什么能为董开绿灯？》所以，他两什么关系？？有人知道内幕嘛已看过《董爸总裁，董妈院长》说点5448963117天生明德邱贵兴（北京协和医院外科学系主任）：到农村以后，那些赤脚医生他们是老大，我们还要培训他，出了问题还要我们负责任，还不能说这个赤脚医生有问题。要说有问题说明你立场，阶级立场有问题。他们就提出口号要从我们这些资产阶级知识分子手里，把这个刀把子拿过来，就是说这个刀把子不能叫你们资产阶级知识分子拿。解说：现在已经是学科领军人物的邱贵兴，可以说实现了自己1960年考入协和时的职业愿景。只是当年那场惊心动魄的政治浩劫，让他的从医之路走的曲折又艰难。邱贵兴：大跃进后来慢慢结束了，1959年就开始国家要抓经济了，要恢复了。所以1959年成立中国医科大学，那么我是1960年入北大的。解说：在1953年和1957年，两度停招医学生后，1959年协和改名为“中国医科大学”，恢复八年制教育开始招生。邱贵兴当时入学后要先在北京大学进行三年医预学习，第四年才能真正进入协和。邱贵兴：那个时候老协和还有一批老人都在，所以我们那些老师都是那些老协和的人。我记得我们这个林巧稚教授带我们看病，比如听产妇、听胎心什么的，她不嫌人家脏不脏，把耳朵趴倒肚子上听。所以你当时感觉到人家跟病人那就没有什么医生跟病人，好像就是自己人，家人的感觉。1966年开始协和就停掉了，那个时候把我们协和就当成一个是，应该说是个资产阶级知识分子的批判的一个对象。协和八年制被认为资产阶级修正主义苗子。所以那时候的教授基本上他们都靠边站，有的扫厕所，有的戴大高帽，好多学生也不敢接触他。邱贵兴：（我们）也搞了一样的它一样要搞这些，因为它有革委会，有红卫兵，但是没有像他们那么激烈。八年出来什么也不是，那时候就什么也没有，没有学位，就是说协和的学生，就是我们医大的学生要全部分到西北农村。我算不错的，我就分到了延安，又把我们分到张家河公社医院。我记得那个时候有北京知识青年里面的赤脚医生，根本不懂，从来没学习医，他就给病人去开刀有的口腔科的，我们都不太敢做他就的做北京日报客户端北京板关注Q 听554.6万粉丝V 到了延安，过的第一关就是生活关。邱贵兴和爱人一个来自无锡，一个来自福州，事先都不知道缺水到底是啥滋味。到了延安，每天吃水都成了问题，洗澡更是奢侈的愿望，“人人身上都长虱子”。一开始，他们还会用敌敌畏来消毒衣物里品，时间久了，两个人真正体会到“虱子多了不咬”的感觉。“生活关”过了，还要过“技术关”。公社医院也有医生，但多数都是卫生学校毕业的中专生。刚刚从学校比业的邸贵兴，很多手术都没做过，但这里的医生很多手术见都没见过。遇到急诊病人需要手术，邱贵兴只能与爱人边看书边做手术。,公安,中性
转发,2025-05-01 11:18:06,其实和盲女配对的这个another zyl的体格还算OK，不是干巴小瘦子，肩膀头子是练过的，就是脸像乐高小人，实在是出戏。对不起了[允悲] ??,主要别的平台也是豆豆眼，真的讨厌//，就比如说你以前购物车乱七八糟的，然后你把它清空了，放两个巧克力进去，你的所有推荐里面就只有巧克力了//，现在刷那个平台都出现这个豆豆眼乐高小人无语了,0,0,0, ,LEGO 10+40819Scaled-LUp Racing DrverMinifgure 694pcs octan,其他,愤怒
转发,2025-05-01 16:11:19,原配谷潇雅，还是冲动了，不知道她现在什么心情，估计也没想到搞这么大吧。真的因为女人一时的恨，为了一个渣男何必呢？像谷女士这么优秀，离了婚可能过得更好。这下毁灭的不只是肖飞，还有自己的前程和孩子还跟着受了牵连和影响。谷潇雅自己也不弱，北大八年制医学科班出身，眼科博士，三十多岁就干到副主任医师，标准的顶级精英，完全不靠肖飞也能过得非常好。这个事理性的角度还是应该走司法程序，低调把婚离了算了，至于争财产抚养权啥的，也不是谁说拿多少就多少，法院自有定论，就凭肖那个德行能拿到抚养权才怪了。搞成现在这个样子，真的把自己的前程也给毁了。得不偿失。我是建议有头有脸的体面人，私下有事私下解决，不要搞到网上来满城风雨，这种网暴导致的伤害是不可估量的。肖飞罪有应得，谷女士这种鱼死网破的行为不值得。,那必须值得//。// :怎么不值得？,1,0,0, , ,其他,愤怒
转发,2025-05-01 16:17:09,人朋友，展信脆。最近的花开得很好吧？我想出门看花，可是我的冬毛还没换完，整个我参差不齐的，耳朵后边缺了一点毛毛，屁股上又多一点。我为这样的情况而难过，决心不能在看起来像一个被丢弃的旧毛绒玩偶的情况下坐立在好看的花枝中间。等冬毛换好就去看花，我这样想着。可是昨天下了一场可恶的雨，我不禁委屈得想要哭泣。你看，我没有做错什么，可是我失去了我的理想。难道毛发齐整的我比毛发杂乱的我更值得看花吗？为了等待理想情况的到来，我轻视着现在的自己。可是我们在泥土里踩出的明明是同样的爪印。过上理想生活的方式是从现在就开始过理想的生活。如果无法在开满鲜花的枝头坐立，那我就要在花瓣地毯上打许多的滚，花瓣会填补我毛发的空缺。祝您的五月过理想的生活。您的朋友，小奶?#小奶来信# （Pinterest：Rachel）,每月一封信，类似老白发面条照片一样让人安心。,0,0,0, ,,其他,悲伤
转发,2025-05-01 16:36:57,发现了，男明星穿的小白鞋都挺增高的。 ??,黄大民生不逢时啊，现在一八零以上男明星也都是各种增高小白鞋高跟皮鞋，根本没人说。,0,0,0, , ,娱乐，时尚,中性
转发,2025-05-01 17:15:04,刷到小红书上有一位女孩，说被微博千万粉丝的大V造黄谣了。她只是在餐厅里吃饭时，看到一位老人长得很像自己已故的爷爷，一时感伤，就走过去敬了一杯酒。没想到这一幕被在场的微博大V看到，将整个过程添油加醋地写成了一篇恶意满满的博文。他在遣词造句上可谓处处藏针，特意强调，餐厅里六十多岁的老头《开了几瓶茅台之后》，一位年轻女孩就突然走过来敬酒，说，“大哥，我觉得您特有气质，我敬您一杯，认识下。”然后两人交换了联系方式。他想表达的意思明明已经很明显了，就是在往20几岁的年轻女孩拜金，主动来认识有钱老头的方向引导。却在文末装作无辜地总结道，“我没看懂这是咋回事儿，但我隐隐感觉这老头离倒霉不远了。”更恶心的是，他甚至直接在评论区里带节奏，煽动道，“他俩肯定会睡在一起的。”、“这是我所不能理解的。”引导网友们一起嘲讽、攻击女孩。这位微博大V平时经营着“尊重女性”“爱妻好男人”的人设，而且他自己也有一个年幼的女儿。难道他不介意自己的女儿也活在这样一个，女性可以随便被恶意编排、被羞辱、被造黄谣的世界里吗？真的太恶臭了。 （后续看到大V道歉，他否认小红书上的女孩是当事人，但承认自己确实《充满恶意》地揣测了一位无辜的女孩。因为当晚旁边桌很多男人在抽烟，他只能“生窝囊气”，不敢找旁边桌的男人理论，而是把《怨恨》用来给向抽烟那桌客人敬酒的陌生女孩造黄谣[摊手]。）,真的很臭//，没想到以这种方式出现在网友面前//////？那不奇怪了////////，肯定自己干过吧,0,0,0, ,关于我被某大V 造黄谣！ 我被有千万粉丝的大博主造谣了事情是这样的...给我巧乐兹19058小时前回忆专用小马甲25-4-2911:17发布于广东想起件事儿，前两天我在一家装修很好的店里吃宵夜。大厅就我们几桌客人，隔壁桌坐了四五个人，一个六十岁左右头发花白的老头坐主位，他们桌上开了几瓶茅台，喝起酒来很喧闹。过会儿突然走过去一个女孩，看着二十多岁的样子吧，端着一杯啤酒。女孩走到老头面前说：大哥，我觉得您特有气质，我敬您一杯，认识下。老头激动得不行，感觉特有面子，朋友也起哄，他立刻干了杯白的，说：你坐过来一起吃！说着就开始让服务员加椅子。女孩说：不不不，我闺蜜跟我一起来的，我得陪她。这时不远处另一位女孩举起胳膊招了招手。然后她跟老头互扫了下，加了联系方式，就各吃各的了。这一切发生得太快，就一两分钟吧。我也是第一次见这种情况，说实话我没看懂这是咋回事儿。但我隐隐感觉这老头离倒霉不远了。 回忆专用小马甲AI 转发306评论85赞291按热度铁粉4老头可能觉得自己又要恋爱了哈哈哈哈哈哈哈哈哈哈4-2911:19来自加拿大83回忆专用小马甲他俩肯定会睡在一起的，那么接下来呢？这是我所不理解的。4-2911:20来自广东13哈哈哈哈天4-2911:41来自四川返回回忆专用小马甲坦白讲我之前写的时候，内心确实带着怨气因为当晚人多的那桌客人，是一直在抽烟的，这点我在帖子刚发时，就在评论里回复了，大家如果刷到过，可以帮我做个证。他们就坐在离我约半米的地方，虽然店里窗户都大开着，通风很好，但烟味依然源源不断飘到我面前。所以当有陌生人举杯向抽烟那桌客人表达善意时，我一直在偷偷生窝囊气。但我不该把对一桌在公共场所抽烟客人怨恨的一部分，转嫁给一位素不相识的女孩。 我之所以会在评论里回复那句充满恶意的揣测，是因为我不可避免的听到了一些他们的对话，包括他们同桌朋友的起哄，不怕大家笑话，我当初写的时候没敢提，也是怕涉及别人隐私会惹麻烦，我现在如果写出来人家对话的内容，更像是在编排人家，所以在此也不提了。错在我，本来也不该嚼人家舌根。我这两天一直在反思自己，大家批评的对，我确实太久没被骂，飘了。尤其在性别之间关系没那么和谐的今天，我作为一个有些阅读量的自媒体，更不该做出这样错误的发言，对不起。,公安,愤怒
转发,2025-05-01 19:32:28,?《布莱切利四人组之旧金山》EP01开播旧金山平静小镇突现谋杀，凶手弃尸方式与多年前的旧案惊人相似。四人组远赴旧金山，踏上追凶之路，试图凭借战时的破密经验，破解凶手留下的密码。“重操旧业”的她们，能否找到凶手......?《布莱切利四人组旧金山》EP01人员名单片源：咕噜咕噜翻译：月月一校：Natalie二校：香香鸡蛋糕群校：虾皮 麦麦脆汁羊 紫紫海报：清清时间轴：launim特效：launim压制：launim统筹：怪兽#秃炮怪字幕组##布莱切利四人组##布莱切利四人组之旧金山#,超好看//,2,0,0, ,布莱切利四人组之旧金山秃炮怪字幕组,娱乐，体育，司法，政务,喜悦
转发,2025-05-01 20:54:21,always baby ? ??,麻麻每天做梦胸口碎大石,0,0,0, ,3months 3years alwaysbaby,其他,中性
转发,2025-05-01 21:32:11,人在无语的时候真的会笑 ??,实话//,6,0,0, ,02:33健身房20cm黑皮小奶狗.JPG 131KB 微信电脑版13:3888健身房20cm黑皮小奶狗.JPG,其他,喜悦
转发,2025-05-02 08:48:50,没了#天津医闹# ??,//[蜡烛]////[蜡烛],0,0,0, ,23:41100个腐女子的本愿05-0123:09iPhone13Pro //：/：/1：天津医院事件凶手有预谋，选择两位都给他做过手术的主任同时出诊那天，凶器准备了两把藏在准备好的假肢里混过安检，踩点精确捅了第一个主任之后从职工通道到了另一个诊室捅第二个主任，顺带捅了取药的护士和进修医生，提前准查看翻译发布于北京：#天津医院医闹#骆巍医生一路走好转发13评论25赞78赞评论转发3口,科技，医疗，公安,悲伤
