原创/转发,日期,原微博内容,全文内容,转发数,评论数,点赞数,话题,图文识别,涉及行业,微博情绪
转发,2025-05-01 09:45:43,在某肿瘤医院工作的亲戚说，他们医院也有那种海归博士，学科带头人，总之头衔很多看似很厉害的医生，但其实非常水。水到什么程度呢？亲戚说，他们有个不成文的规矩，手术开刀开死一个病人要封刀半年，而这个医生，常年处于封刀状态。就是说他开一个没一个，过半年再开一个又没一个。亲戚说他当年就是出国镀了个金，但实操能力远远比不上国内一个月那么多台手术的医生。可是这并不影响他“学术”上的成就，他甚至还带了不少学生出来。亲戚之所以说这个故事，是因为一个远亲得了癌症，想找一个靠谱医生做手术，说看中了这位医生的各种头衔。亲戚极力劝说，说他还在封刀呢，你找他跟自杀有什么区别？话糙理不糙，那位远亲立刻换医生了。,真正手术开得好人品也超好的陆医生又被新华社带头网爆////，不是内部人员都不会清楚,10,7,0, , ,医疗，公安,中性
转发,2025-05-01 09:55:12,以后最可怕的不是你的开胸手术是个学艺术的厕妹做，而是她把你玩死之后，背后的败类院士一个电话，让医疗事故调查比你自己走的还安详。 ??,//！,8,4,0, ,19:49实时资讯皇现·开启财经视界艺术，哲学还是社会学北京协和医学院校长王辰：“4+4“是中国医学教育的新起点使医学融入了多学科的基因搜狐财经编辑：王喆慧点赞关注转发 北京协和医学院校长王辰：“4+4“是中国医学教育的新起点，使医学融入了多学科的基因#财经搜狐搜狐财经+关注财经1.8万5.6万90718942,公安，金融,愤怒
转发,2025-05-01 09:55:32,今日金句：神预言 首医大佬饶毅：“我们第一目标是10年超过协和！我们超过协和的主要办法靠王辰校长这个把协和给抡下去！”[酷][哈哈] 知己知彼、百战百胜！不需要狼一样的队友，只需要猪一样的对手！[哈哈][哈哈] 饶老太可爱了！粉了！[good] ??,[doge]//，不退则进！[衰],12,4,0, ,吴阶我们第一目标是10年超过协和,其他,喜悦
转发,2025-05-01 11:08:47,董袭莹可能是那种偷偷去打高潮针的人，因为她既没有脑子，也不懂医学。昨天看董袭莹事件，当时我的第一反应是：被宠成这样，大概率是有背景的家族里的第三代。今天又刷了一会儿微博，果然就是第三代，她爷爷辈是医学某领域的厉害人物。姑且称这样【有背景且喜欢骚操作】的家族为门阀。为什么我当时就觉得是第三代呢？如果仅从父辈才开始发家，很多小孩其实还比较收敛（相对）。父辈深知发家不易，就算平时没空管孩子，也会时不时敲打几句“别特么给老子惹事”。如果是爷辈就发家了，那么到了第三代，接的地气就会弱很多，甚至在认知上就直接脱离群众了。爷辈本来就对孙辈格外宠溺，而父辈大概率也是踩着爷辈腾飞的，一家人呼风唤雨几十年没有出问题， 所有人都已经习惯了“想得到什么就运作一下”。如果仅仅是安安稳稳过日子倒也没事，但如果野心大，或者在外面好勇斗狠，就比较危险了。脱离群众最大的问题就是失去对危险的感知。光干坏事，不做风险管控，在坏人领域也是不合格的。门阀意外翻车，基本上都跟小三或者孩子不懂事有关。董袭莹把两者结合起来了：这孩子是不懂事的小三。其实门阀给自家小孩找个好工作，在人类社会挺常见，但凡稍微拎得清，都会低调做人，认真做事。但是董袭莹想要的绝对不只是一份稳定的工作，她的成长路线是先要攒资历，以后转行政，最后是要奔着更高的位置去的。苦是一滴不肯吃，蛋糕是想吃最大最好的。她偷岗位，偷前途。我们普通人只能偷偷努力了。她哪怕努力把事情做好一点呢？我也敬它是半条汉子。又不聪明又不努力，还爱捅娄子，恁弄啥嘞？还是去特朗普的白宫团队上班吧！那里有很多这样的人。 ???回顾我以前写过的一条段子。“对不起，你没被录用。”“没关系。”我感慨家里没有那层关系。,////，原配没离婚的情况下，带着小三回去见父母，结果他父母反而煞有介事颁奖一样还合影。管中窥豹，家风多少有点问题,3,3,0, , ,政务,中性
转发,2025-05-01 11:24:18,#刚正不阿的好人麻大夫#拒肖飞打招呼医生是盘尼西林成员麻昊宁!!!!中日友好医院骨科-脊柱外科主治医师麻昊宁同时也是摇滚乐队盘尼西林的键盘手曾参与《乐队的夏天》，被称为“最朋克的骨科大夫”， 白天做手术、晚上玩乐队。2024年7月 胸外科副主任医师肖飞为让规培医生董某莹继续留在胸外科轮转，私下联系麻昊宁请求“协调”但遭到麻大夫直接拒绝 ，麻昊宁在“中日友好医院教育处群”中公开质疑特权操作，指出董某莹多次通过关系干预正常轮转计划，导致其他规培生（如北中医专硕）工作压力失衡，并明确表示“无法接受此类破坏教学公平的行为”双方在群内激烈争吵 。麻昊宁坚持要求“至少协调一名住院医支援北中医专硕”即使被院方要求道歉，仍拒绝妥协。这一行为被院内知情人士 形容为“医学与摇滚的双重暴击”,外科医生好多身强食伤超旺，当然这也是他们欲望重的一个原因//，很难想象三甲医院外科医生这种忙碌程度还有空练琴参加乐队演出,2,2,0, ,果果音果果昌乐队夏天THEDINU,医疗，公安,中性
转发,2025-05-01 11:26:16,北京#协和医院#能有今天，我一点也不意外。我对它的滤镜破碎于8年前。妈妈住院，我累积陪护3个月，这3个月，主治医师出面不到3次，全由助理应付。在我看来，她完全是个水货！无论是医术及态度上，无法予以病人任何安慰。 ??,冯唐小说里的协和医生三观都很奇怪的，那个时候我觉得协和会逐渐衰落//，看不到一丁点儿人性的温暖。我至今都怕经过那儿。,21,6,0, , ,医疗，公安,恐惧
转发,2025-05-01 11:27:11,我读博期间，由于严重的植物神经紊乱和焦虑症，在京都西京极医院的心疗内科有过长达两年的治疗。当时出于好奇搜了主治医生的fb，发现她竟然是做陶瓷出身的，还是个小有名气的陶艺家。当时立刻觉得非常不靠谱——纳尼？艺术生竟然可以半路出家当医生？西京极医院的心疗内科很有名，日本心疗内科学会的会长就是这家医院的院长。正是因为想到了这一层，我尽管心生疑虑，还是选择继续治疗。当然，这些治标不治本的小药片没有从根本上解决问题，擅自停药还会出现梦游般的戒断反应，而且我依然会随时惊恐发作，一发作就服药，服了药就惶恐不安地等待下次发作。这折磨我的怪病是在21年夏天回国后，大概22年（？）稀里糊涂地痊愈的。我觉得几块钱一瓶的谷维素，胜过那家医院配的任何一种药剂。看了董小姐的事情，我越发怀疑当年被那家医院耍了，陶艺家医生可能连我的症结都没摸准。算了，俱往矣，人生如梦，一尊还酹江月。,[汗]//，谷维素，我这段时间焦虑忧郁，也都是吃这个[允悲]前段时间倒是犹豫要不要去神经内科看看正规吃药算了，但又怕停不了药形成依赖，就靠自我调节和吃谷维素暂时平稳了。,4,0,0, , ,医疗,恐惧
转发,2025-05-01 11:42:02,【#医学博士白天是医生晚上送外卖#】4月28日，湖南，据媒体报道，博主“内六角”白天是医生，晚上送外卖，曾是高中理科状元，考上省内最好医学院，后错过博士后进站，规培作废，晋升受限，跑外卖能暂时抛却工作中不得不面对的压力，“快节奏的生活中，每个人都需要自我调节”。#医学博士因硕博研究方向不同三年规培作废#,////，这边是真医生，规培作废。然而，董小姐跨界还能直接减2年[doge][doge],5,0,0, ,博主内六角：白天是医生晚上送外卖曾是高中理科状元考上省内最好的医学院后错过博土后进站规培作废晋升受限“快节奏的生活中每个人都需要自我调节”4月28日湖南（发布）来源：内六角、闪电新闻,教育，公安,中性
转发,2025-05-01 11:44:54,网友都是神人。。。。。 ??,[笑cry]//……,13,1,0, ,我是托关系进来的我也是我也是我也是我也是的啦Same here!我也是metoo 样我也是我是托关系进来的我也是（我也是我也是！,其他,中性
转发,2025-05-01 13:35:17,我觉得协和事件里，身为盘尼西林乐队键盘手的麻医生能这么刚，充分说明了搞副业的重要性。在那样的一个群体性妥协环境里，能大胆说不，除了自身医术过硬。肯定还有一层因素是，他知道自己就算真的被整了，也还可以去全职搞音乐。至少不至于饿死，或者说生活一落千丈。很多人在职场里不是富二代也能横着走，对跨部门的需求甚至领导的不合理需求说不，也是因为有副业。有人会说，那我副业做那么好，为什么不把工作辞了，全职搞副业？那不行的，比如你要是全职做自媒体，靠着自媒体吃饭，就会被甲方爸爸在头上拉大的。但如果你永远把自媒体当做副业，同时又在上班，两条腿走路。那两边就都没有人可以欺负你。,[笑cry]//，有这种硬刚不怕事的人设才叫摇滚精神//,6,2,0, , ,其他,中性
转发,2025-05-01 15:53:23,要不是评论告诉我，都压根没有对起来当年朱令不是早就怀疑是铊中毒，一直一直拖到无力回天那医院不就是协和么 ??,毛据说也是这个死因?,0,1,0, , ,其他,愤怒
